EXTRA,DATA_TYPE,COLUMN_KEY,TABLE_NAME,COLUMN_NAME,COLUMN_TYPE,IS_NULLABLE,IS_GENERATED,TABLE_SCHEMA,PRIVILEGES,NUMERIC_SCALE,TABLE_CATALOG,COLLATION_NAME,COLUMN_COMMENT,COLUMN_DEFAULT,ORDINAL_POSITION,NUMERIC_PRECISION,CHARACTER_SET_NAME,DATETIME_PRECISION,GENERATION_EXPRESSION,CHARACTER_OCTET_LENGTH,CHARACTER_MAXIMUM_LENGTH
NEVER,varchar,<blank>,<blank>,CHARACTER_SET_NAME,varchar(32),def,2,<blank>,<blank>,information_schema,<blank>,utf8_general_ci,<blank>,'',select,COLLATIONS,utf8,<blank>,NO,96,32
3,19,<blank>,<blank>,NEVER,NO,information_schema,COLLATIONS,<blank>,<blank>,<blank>,<blank>,ID,bigint(11),bigint,<blank>,select,<blank>,0,def,0,<blank>
NEVER,varchar,<blank>,<blank>,IS_DEFAULT,varchar(3),def,4,<blank>,<blank>,information_schema,<blank>,utf8_general_ci,<blank>,'',select,COLLATIONS,utf8,<blank>,NO,9,3
NEVER,varchar,<blank>,<blank>,IS_COMPILED,varchar(3),def,5,<blank>,<blank>,information_schema,<blank>,utf8_general_ci,<blank>,'',select,COLLATIONS,utf8,<blank>,NO,9,3
6,19,<blank>,<blank>,NEVER,NO,information_schema,COLLATIONS,<blank>,<blank>,<blank>,<blank>,SORTLEN,bigint(3),bigint,<blank>,select,<blank>,0,def,0,<blank>
NEVER,varchar,<blank>,<blank>,COLLATION_NAME,varchar(32),def,1,<blank>,<blank>,information_schema,<blank>,utf8_general_ci,<blank>,'',select,COLLATION_CHARACTER_SET_APPLICABILITY,utf8,<blank>,NO,96,32
NEVER,varchar,<blank>,<blank>,CHARACTER_SET_NAME,varchar(32),def,2,<blank>,<blank>,information_schema,<blank>,utf8_general_ci,<blank>,'',select,COLLATION_CHARACTER_SET_APPLICABILITY,utf8,<blank>,NO,96,32
NEVER,varchar,<blank>,<blank>,TABLE_CATALOG,varchar(512),def,1,<blank>,<blank>,information_schema,<blank>,utf8_general_ci,<blank>,'',select,COLUMNS,utf8,<blank>,NO,1536,512
NEVER,varchar,<blank>,<blank>,TABLE_SCHEMA,varchar(64),def,2,<blank>,<blank>,information_schema,<blank>,utf8_general_ci,<blank>,'',select,COLUMNS,utf8,<blank>,NO,192,64
NEVER,varchar,<blank>,<blank>,TABLE_NAME,varchar(64),def,3,<blank>,<blank>,information_schema,<blank>,utf8_general_ci,<blank>,'',select,COLUMNS,utf8,<blank>,NO,192,64
NEVER,varchar,<blank>,<blank>,COLUMN_NAME,varchar(64),def,4,<blank>,<blank>,information_schema,<blank>,utf8_general_ci,<blank>,'',select,COLUMNS,utf8,<blank>,NO,192,64
5,20,<blank>,<blank>,NEVER,NO,information_schema,COLUMNS,<blank>,<blank>,<blank>,<blank>,ORDINAL_POSITION,bigint(21) unsigned,bigint,<blank>,select,<blank>,0,def,0,<blank>
NEVER,longtext,<blank>,<blank>,COLUMN_DEFAULT,longtext,def,6,<blank>,<blank>,information_schema,<blank>,utf8_general_ci,<blank>,NULL,select,COLUMNS,utf8,<blank>,YES,4294967295,4294967295
NEVER,varchar,<blank>,<blank>,IS_NULLABLE,varchar(3),def,7,<blank>,<blank>,information_schema,<blank>,utf8_general_ci,<blank>,'',select,COLUMNS,utf8,<blank>,NO,9,3
NEVER,varchar,<blank>,<blank>,DATA_TYPE,varchar(64),def,8,<blank>,<blank>,information_schema,<blank>,utf8_general_ci,<blank>,'',select,COLUMNS,utf8,<blank>,NO,192,64
9,20,<blank>,<blank>,NEVER,YES,information_schema,COLUMNS,<blank>,<blank>,<blank>,<blank>,CHARACTER_MAXIMUM_LENGTH,bigint(21) unsigned,bigint,<blank>,select,<blank>,0,def,NULL,<blank>
10,20,<blank>,<blank>,NEVER,YES,information_schema,COLUMNS,<blank>,<blank>,<blank>,<blank>,CHARACTER_OCTET_LENGTH,bigint(21) unsigned,bigint,<blank>,select,<blank>,0,def,NULL,<blank>
11,20,<blank>,<blank>,NEVER,YES,information_schema,COLUMNS,<blank>,<blank>,<blank>,<blank>,NUMERIC_PRECISION,bigint(21) unsigned,bigint,<blank>,select,<blank>,0,def,NULL,<blank>
12,20,<blank>,<blank>,NEVER,YES,information_schema,COLUMNS,<blank>,<blank>,<blank>,<blank>,NUMERIC_SCALE,bigint(21) unsigned,bigint,<blank>,select,<blank>,0,def,NULL,<blank>
13,20,<blank>,<blank>,NEVER,YES,information_schema,COLUMNS,<blank>,<blank>,<blank>,<blank>,DATETIME_PRECISION,bigint(21) unsigned,bigint,<blank>,select,<blank>,0,def,NULL,<blank>
NEVER,varchar,<blank>,<blank>,CHARACTER_SET_NAME,varchar(32),def,14,<blank>,<blank>,information_schema,<blank>,utf8_general_ci,<blank>,NULL,select,COLUMNS,utf8,<blank>,YES,96,32
NEVER,varchar,<blank>,<blank>,COLLATION_NAME,varchar(32),def,15,<blank>,<blank>,information_schema,<blank>,utf8_general_ci,<blank>,NULL,select,COLUMNS,utf8,<blank>,YES,96,32
NEVER,longtext,<blank>,<blank>,COLUMN_TYPE,longtext,def,16,<blank>,<blank>,information_schema,<blank>,utf8_general_ci,<blank>,'',select,COLUMNS,utf8,<blank>,NO,4294967295,4294967295
NEVER,varchar,<blank>,<blank>,COLUMN_KEY,varchar(3),def,17,<blank>,<blank>,information_schema,<blank>,utf8_general_ci,<blank>,'',select,COLUMNS,utf8,<blank>,NO,9,3
NEVER,varchar,<blank>,<blank>,EXTRA,varchar(30),def,18,<blank>,<blank>,information_schema,<blank>,utf8_general_ci,<blank>,'',select,COLUMNS,utf8,<blank>,NO,90,30
NEVER,varchar,<blank>,<blank>,PRIVILEGES,varchar(80),def,19,<blank>,<blank>,information_schema,<blank>,utf8_general_ci,<blank>,'',select,COLUMNS,utf8,<blank>,NO,240,80
NEVER,varchar,<blank>,<blank>,COLUMN_COMMENT,varchar(1024),def,20,<blank>,<blank>,information_schema,<blank>,utf8_general_ci,<blank>,'',select,COLUMNS,utf8,<blank>,NO,3072,1024
NEVER,varchar,<blank>,<blank>,IS_GENERATED,varchar(6),def,21,<blank>,<blank>,information_schema,<blank>,utf8_general_ci,<blank>,'',select,COLUMNS,utf8,<blank>,NO,18,6
NEVER,longtext,<blank>,<blank>,GENERATION_EXPRESSION,longtext,def,22,<blank>,<blank>,information_schema,<blank>,utf8_general_ci,<blank>,NULL,select,COLUMNS,utf8,<blank>,YES,4294967295,4294967295
NEVER,varchar,<blank>,<blank>,GRANTEE,varchar(190),def,1,<blank>,<blank>,information_schema,<blank>,utf8_general_ci,<blank>,'',select,COLUMN_PRIVILEGES,utf8,<blank>,NO,570,190
NEVER,varchar,<blank>,<blank>,TABLE_CATALOG,varchar(512),def,2,<blank>,<blank>,information_schema,<blank>,utf8_general_ci,<blank>,'',select,COLUMN_PRIVILEGES,utf8,<blank>,NO,1536,512
NEVER,varchar,<blank>,<blank>,TABLE_SCHEMA,varchar(64),def,3,<blank>,<blank>,information_schema,<blank>,utf8_general_ci,<blank>,'',select,COLUMN_PRIVILEGES,utf8,<blank>,NO,192,64
NEVER,varchar,<blank>,<blank>,TABLE_NAME,varchar(64),def,4,<blank>,<blank>,information_schema,<blank>,utf8_general_ci,<blank>,'',select,COLUMN_PRIVILEGES,utf8,<blank>,NO,192,64
NEVER,varchar,<blank>,<blank>,COLUMN_NAME,varchar(64),def,5,<blank>,<blank>,information_schema,<blank>,utf8_general_ci,<blank>,'',select,COLUMN_PRIVILEGES,utf8,<blank>,NO,192,64
NEVER,varchar,<blank>,<blank>,PRIVILEGE_TYPE,varchar(64),def,6,<blank>,<blank>,information_schema,<blank>,utf8_general_ci,<blank>,'',select,COLUMN_PRIVILEGES,utf8,<blank>,NO,192,64
NEVER,varchar,<blank>,<blank>,IS_GRANTABLE,varchar(3),def,7,<blank>,<blank>,information_schema,<blank>,utf8_general_ci,<blank>,'',select,COLUMN_PRIVILEGES,utf8,<blank>,NO,9,3
NEVER,varchar,<blank>,<blank>,ROLE_NAME,varchar(128),def,1,<blank>,<blank>,information_schema,<blank>,utf8_general_ci,<blank>,NULL,select,ENABLED_ROLES,utf8,<blank>,YES,384,128
NEVER,varchar,<blank>,<blank>,ENGINE,varchar(64),def,1,<blank>,<blank>,information_schema,<blank>,utf8_general_ci,<blank>,'',select,ENGINES,utf8,<blank>,NO,192,64
NEVER,varchar,<blank>,<blank>,SUPPORT,varchar(8),def,2,<blank>,<blank>,information_schema,<blank>,utf8_general_ci,<blank>,'',select,ENGINES,utf8,<blank>,NO,24,8
NEVER,varchar,<blank>,<blank>,COMMENT,varchar(160),def,3,<blank>,<blank>,information_schema,<blank>,utf8_general_ci,<blank>,'',select,ENGINES,utf8,<blank>,NO,480,160
NEVER,varchar,<blank>,<blank>,TRANSACTIONS,varchar(3),def,4,<blank>,<blank>,information_schema,<blank>,utf8_general_ci,<blank>,NULL,select,ENGINES,utf8,<blank>,YES,9,3
NEVER,varchar,<blank>,<blank>,XA,varchar(3),def,5,<blank>,<blank>,information_schema,<blank>,utf8_general_ci,<blank>,NULL,select,ENGINES,utf8,<blank>,YES,9,3
NEVER,varchar,<blank>,<blank>,SAVEPOINTS,varchar(3),def,6,<blank>,<blank>,information_schema,<blank>,utf8_general_ci,<blank>,NULL,select,ENGINES,utf8,<blank>,YES,9,3
NEVER,varchar,<blank>,<blank>,EVENT_CATALOG,varchar(64),def,1,<blank>,<blank>,information_schema,<blank>,utf8_general_ci,<blank>,'',select,EVENTS,utf8,<blank>,NO,192,64
NEVER,varchar,<blank>,<blank>,EVENT_SCHEMA,varchar(64),def,2,<blank>,<blank>,information_schema,<blank>,utf8_general_ci,<blank>,'',select,EVENTS,utf8,<blank>,NO,192,64
NEVER,varchar,<blank>,<blank>,EVENT_NAME,varchar(64),def,3,<blank>,<blank>,information_schema,<blank>,utf8_general_ci,<blank>,'',select,EVENTS,utf8,<blank>,NO,192,64
NEVER,varchar,<blank>,<blank>,DEFINER,varchar(189),def,4,<blank>,<blank>,information_schema,<blank>,utf8_general_ci,<blank>,'',select,EVENTS,utf8,<blank>,NO,567,189
NEVER,varchar,<blank>,<blank>,TIME_ZONE,varchar(64),def,5,<blank>,<blank>,information_schema,<blank>,utf8_general_ci,<blank>,'',select,EVENTS,utf8,<blank>,NO,192,64
NEVER,varchar,<blank>,<blank>,EVENT_BODY,varchar(8),def,6,<blank>,<blank>,information_schema,<blank>,utf8_general_ci,<blank>,'',select,EVENTS,utf8,<blank>,NO,24,8
NEVER,longtext,<blank>,<blank>,EVENT_DEFINITION,longtext,def,7,<blank>,<blank>,information_schema,<blank>,utf8_general_ci,<blank>,'',select,EVENTS,utf8,<blank>,NO,4294967295,4294967295
NEVER,varchar,<blank>,<blank>,EVENT_TYPE,varchar(9),def,8,<blank>,<blank>,information_schema,<blank>,utf8_general_ci,<blank>,'',select,EVENTS,utf8,<blank>,NO,27,9
def,YES,0,<blank>,<blank>,NEVER,select,information_schema,<blank>,<blank>,<blank>,<blank>,EXECUTE_AT,datetime,datetime,<blank>,<blank>,<blank>,9,EVENTS,NULL,<blank>
NEVER,varchar,<blank>,<blank>,INTERVAL_VALUE,varchar(256),def,10,<blank>,<blank>,information_schema,<blank>,utf8_general_ci,<blank>,NULL,select,EVENTS,utf8,<blank>,YES,768,256
NEVER,varchar,<blank>,<blank>,INTERVAL_FIELD,varchar(18),def,11,<blank>,<blank>,information_schema,<blank>,utf8_general_ci,<blank>,NULL,select,EVENTS,utf8,<blank>,YES,54,18
NEVER,varchar,<blank>,<blank>,SQL_MODE,varchar(8192),def,12,<blank>,<blank>,information_schema,<blank>,utf8_general_ci,<blank>,'',select,EVENTS,utf8,<blank>,NO,24576,8192
def,YES,0,<blank>,<blank>,NEVER,select,information_schema,<blank>,<blank>,<blank>,<blank>,STARTS,datetime,datetime,<blank>,<blank>,<blank>,13,EVENTS,NULL,<blank>
def,YES,0,<blank>,<blank>,NEVER,select,information_schema,<blank>,<blank>,<blank>,<blank>,ENDS,datetime,datetime,<blank>,<blank>,<blank>,14,EVENTS,NULL,<blank>
NEVER,varchar,<blank>,<blank>,STATUS,varchar(18),def,15,<blank>,<blank>,information_schema,<blank>,utf8_general_ci,<blank>,'',select,EVENTS,utf8,<blank>,NO,54,18
NEVER,varchar,<blank>,<blank>,ON_COMPLETION,varchar(12),def,16,<blank>,<blank>,information_schema,<blank>,utf8_general_ci,<blank>,'',select,EVENTS,utf8,<blank>,NO,36,12
def,NO,0,<blank>,<blank>,NEVER,select,information_schema,<blank>,<blank>,<blank>,<blank>,CREATED,datetime,datetime,<blank>,<blank>,<blank>,17,EVENTS,'0000-00-00 00:00:00',<blank>
def,NO,0,<blank>,<blank>,NEVER,select,information_schema,<blank>,<blank>,<blank>,<blank>,LAST_ALTERED,datetime,datetime,<blank>,<blank>,<blank>,18,EVENTS,'0000-00-00 00:00:00',<blank>
def,YES,0,<blank>,<blank>,NEVER,select,information_schema,<blank>,<blank>,<blank>,<blank>,LAST_EXECUTED,datetime,datetime,<blank>,<blank>,<blank>,19,EVENTS,NULL,<blank>
NEVER,varchar,<blank>,<blank>,EVENT_COMMENT,varchar(64),def,20,<blank>,<blank>,information_schema,<blank>,utf8_general_ci,<blank>,'',select,EVENTS,utf8,<blank>,NO,192,64
21,19,<blank>,<blank>,NEVER,NO,information_schema,EVENTS,<blank>,<blank>,<blank>,<blank>,ORIGINATOR,bigint(10),bigint,<blank>,select,<blank>,0,def,0,<blank>
NEVER,varchar,<blank>,<blank>,CHARACTER_SET_CLIENT,varchar(32),def,22,<blank>,<blank>,information_schema,<blank>,utf8_general_ci,<blank>,'',select,EVENTS,utf8,<blank>,NO,96,32
NEVER,varchar,<blank>,<blank>,COLLATION_CONNECTION,varchar(32),def,23,<blank>,<blank>,information_schema,<blank>,utf8_general_ci,<blank>,'',select,EVENTS,utf8,<blank>,NO,96,32
NEVER,varchar,<blank>,<blank>,DATABASE_COLLATION,varchar(32),def,24,<blank>,<blank>,information_schema,<blank>,utf8_general_ci,<blank>,'',select,EVENTS,utf8,<blank>,NO,96,32
1,19,<blank>,<blank>,NEVER,NO,information_schema,FILES,<blank>,<blank>,<blank>,<blank>,FILE_ID,bigint(4),bigint,<blank>,select,<blank>,0,def,0,<blank>
NEVER,varchar,<blank>,<blank>,FILE_NAME,varchar(512),def,2,<blank>,<blank>,information_schema,<blank>,utf8_general_ci,<blank>,NULL,select,FILES,utf8,<blank>,YES,1536,512
NEVER,varchar,<blank>,<blank>,FILE_TYPE,varchar(20),def,3,<blank>,<blank>,information_schema,<blank>,utf8_general_ci,<blank>,'',select,FILES,utf8,<blank>,NO,60,20
NEVER,varchar,<blank>,<blank>,TABLESPACE_NAME,varchar(64),def,4,<blank>,<blank>,information_schema,<blank>,utf8_general_ci,<blank>,NULL,select,FILES,utf8,<blank>,YES,192,64
NEVER,varchar,<blank>,<blank>,TABLE_CATALOG,varchar(64),def,5,<blank>,<blank>,information_schema,<blank>,utf8_general_ci,<blank>,'',select,FILES,utf8,<blank>,NO,192,64
NEVER,varchar,<blank>,<blank>,TABLE_SCHEMA,varchar(64),def,6,<blank>,<blank>,information_schema,<blank>,utf8_general_ci,<blank>,NULL,select,FILES,utf8,<blank>,YES,192,64
NEVER,varchar,<blank>,<blank>,TABLE_NAME,varchar(64),def,7,<blank>,<blank>,information_schema,<blank>,utf8_general_ci,<blank>,NULL,select,FILES,utf8,<blank>,YES,192,64
NEVER,varchar,<blank>,<blank>,LOGFILE_GROUP_NAME,varchar(64),def,8,<blank>,<blank>,information_schema,<blank>,utf8_general_ci,<blank>,NULL,select,FILES,utf8,<blank>,YES,192,64
9,19,<blank>,<blank>,NEVER,YES,information_schema,FILES,<blank>,<blank>,<blank>,<blank>,LOGFILE_GROUP_NUMBER,bigint(4),bigint,<blank>,select,<blank>,0,def,NULL,<blank>
NEVER,varchar,<blank>,<blank>,ENGINE,varchar(64),def,10,<blank>,<blank>,information_schema,<blank>,utf8_general_ci,<blank>,'',select,FILES,utf8,<blank>,NO,192,64
NEVER,varchar,<blank>,<blank>,FULLTEXT_KEYS,varchar(64),def,11,<blank>,<blank>,information_schema,<blank>,utf8_general_ci,<blank>,NULL,select,FILES,utf8,<blank>,YES,192,64
12,19,<blank>,<blank>,NEVER,YES,information_schema,FILES,<blank>,<blank>,<blank>,<blank>,DELETED_ROWS,bigint(4),bigint,<blank>,select,<blank>,0,def,NULL,<blank>
13,19,<blank>,<blank>,NEVER,YES,information_schema,FILES,<blank>,<blank>,<blank>,<blank>,UPDATE_COUNT,bigint(4),bigint,<blank>,select,<blank>,0,def,NULL,<blank>
14,19,<blank>,<blank>,NEVER,YES,information_schema,FILES,<blank>,<blank>,<blank>,<blank>,FREE_EXTENTS,bigint(4),bigint,<blank>,select,<blank>,0,def,NULL,<blank>
15,19,<blank>,<blank>,NEVER,YES,information_schema,FILES,<blank>,<blank>,<blank>,<blank>,TOTAL_EXTENTS,bigint(4),bigint,<blank>,select,<blank>,0,def,NULL,<blank>
16,19,<blank>,<blank>,NEVER,NO,information_schema,FILES,<blank>,<blank>,<blank>,<blank>,EXTENT_SIZE,bigint(4),bigint,<blank>,select,<blank>,0,def,0,<blank>
17,20,<blank>,<blank>,NEVER,YES,information_schema,FILES,<blank>,<blank>,<blank>,<blank>,INITIAL_SIZE,bigint(21) unsigned,bigint,<blank>,select,<blank>,0,def,NULL,<blank>
18,20,<blank>,<blank>,NEVER,YES,information_schema,FILES,<blank>,<blank>,<blank>,<blank>,MAXIMUM_SIZE,bigint(21) unsigned,bigint,<blank>,select,<blank>,0,def,NULL,<blank>
19,20,<blank>,<blank>,NEVER,YES,information_schema,FILES,<blank>,<blank>,<blank>,<blank>,AUTOEXTEND_SIZE,bigint(21) unsigned,bigint,<blank>,select,<blank>,0,def,NULL,<blank>
def,YES,0,<blank>,<blank>,NEVER,select,information_schema,<blank>,<blank>,<blank>,<blank>,CREATION_TIME,datetime,datetime,<blank>,<blank>,<blank>,20,FILES,NULL,<blank>
def,YES,0,<blank>,<blank>,NEVER,select,information_schema,<blank>,<blank>,<blank>,<blank>,LAST_UPDATE_TIME,datetime,datetime,<blank>,<blank>,<blank>,21,FILES,NULL,<blank>
def,YES,0,<blank>,<blank>,NEVER,select,information_schema,<blank>,<blank>,<blank>,<blank>,LAST_ACCESS_TIME,datetime,datetime,<blank>,<blank>,<blank>,22,FILES,NULL,<blank>
23,19,<blank>,<blank>,NEVER,YES,information_schema,FILES,<blank>,<blank>,<blank>,<blank>,RECOVER_TIME,bigint(4),bigint,<blank>,select,<blank>,0,def,NULL,<blank>
24,19,<blank>,<blank>,NEVER,YES,information_schema,FILES,<blank>,<blank>,<blank>,<blank>,TRANSACTION_COUNTER,bigint(4),bigint,<blank>,select,<blank>,0,def,NULL,<blank>
25,20,<blank>,<blank>,NEVER,YES,information_schema,FILES,<blank>,<blank>,<blank>,<blank>,VERSION,bigint(21) unsigned,bigint,<blank>,select,<blank>,0,def,NULL,<blank>
NEVER,varchar,<blank>,<blank>,ROW_FORMAT,varchar(10),def,26,<blank>,<blank>,information_schema,<blank>,utf8_general_ci,<blank>,NULL,select,FILES,utf8,<blank>,YES,30,10
27,20,<blank>,<blank>,NEVER,YES,information_schema,FILES,<blank>,<blank>,<blank>,<blank>,TABLE_ROWS,bigint(21) unsigned,bigint,<blank>,select,<blank>,0,def,NULL,<blank>
28,20,<blank>,<blank>,NEVER,YES,information_schema,FILES,<blank>,<blank>,<blank>,<blank>,AVG_ROW_LENGTH,bigint(21) unsigned,bigint,<blank>,select,<blank>,0,def,NULL,<blank>
29,20,<blank>,<blank>,NEVER,YES,information_schema,FILES,<blank>,<blank>,<blank>,<blank>,DATA_LENGTH,bigint(21) unsigned,bigint,<blank>,select,<blank>,0,def,NULL,<blank>
30,20,<blank>,<blank>,NEVER,YES,information_schema,FILES,<blank>,<blank>,<blank>,<blank>,MAX_DATA_LENGTH,bigint(21) unsigned,bigint,<blank>,select,<blank>,0,def,NULL,<blank>
31,20,<blank>,<blank>,NEVER,YES,information_schema,FILES,<blank>,<blank>,<blank>,<blank>,INDEX_LENGTH,bigint(21) unsigned,bigint,<blank>,select,<blank>,0,def,NULL,<blank>
32,20,<blank>,<blank>,NEVER,YES,information_schema,FILES,<blank>,<blank>,<blank>,<blank>,DATA_FREE,bigint(21) unsigned,bigint,<blank>,select,<blank>,0,def,NULL,<blank>
def,YES,0,<blank>,<blank>,NEVER,select,information_schema,<blank>,<blank>,<blank>,<blank>,CREATE_TIME,datetime,datetime,<blank>,<blank>,<blank>,33,FILES,NULL,<blank>
def,YES,0,<blank>,<blank>,NEVER,select,information_schema,<blank>,<blank>,<blank>,<blank>,UPDATE_TIME,datetime,datetime,<blank>,<blank>,<blank>,34,FILES,NULL,<blank>
def,YES,0,<blank>,<blank>,NEVER,select,information_schema,<blank>,<blank>,<blank>,<blank>,CHECK_TIME,datetime,datetime,<blank>,<blank>,<blank>,35,FILES,NULL,<blank>
36,20,<blank>,<blank>,NEVER,YES,information_schema,FILES,<blank>,<blank>,<blank>,<blank>,CHECKSUM,bigint(21) unsigned,bigint,<blank>,select,<blank>,0,def,NULL,<blank>
